track,target,filename
GSM763399_OCI-LY1_BCL6_N3_REP1_peaks,BCL6r1,GSM763399_OCI-LY1_BCL6_N3_REP1_peaks.txt.wgl.bed.hg19.bed
GSM763402_OCI-LY1_BCL6_N3_REP2_peaks,BCL6r2,GSM763402_OCI-LY1_BCL6_N3_REP2_peaks.txt.wgl.bed.hg19.bed
GSM763404_OCI-LY1_BCL6_D8_peaks,BCL6,GSM763404_OCI-LY1_BCL6_D8_peaks.txt.wgl.bed.hg19.bed
GSM763406_OCI-LY1_SMRT_peaks,SMRT,GSM763406_OCI-LY1_SMRT_peaks.txt.wgl.bed.hg19.bed
GSM763410_OCI-LY1_BCOR_peaks_overlap,BCOR,GSM763410_OCI-LY1_BCOR_peaks_overlap.R1-R2.txt.wgl.bed.hg19.bed
GSM763410_OCI-LY1_BCOR_peaks_REP1,BCORr1,GSM763410_OCI-LY1_BCOR_peaks_REP1.txt.wgl.bed.hg19.bed
GSM763410_OCI-LY1_BCOR_peaks_REP2,BCORr1,GSM763410_OCI-LY1_BCOR_peaks_REP2.txt.wgl.bed.hg19.bed
GSM763416_OCI-Ly1_H3K36me3_peaks,H3K36me3,GSM763416_OCI-Ly1_H3K36me3_peaks.txt.wgl.bed.hg19.bed
GSM763418_OCI-LY1_H3K9Ac_peaks,H3k9Ac,GSM763418_OCI-LY1_H3K9Ac_peaks.txt.wgl.bed.hg19.bed
GSM763420_OCI-LY1_H3K4me3_peaks,H3K4me3,GSM763420_OCI-LY1_H3K4me3_peaks.txt.wgl.bed.hg19.bed
GSM763422_OCI-LY1_H3K4me1_peaks,H3K4me1,GSM763422_OCI-LY1_H3K4me1_peaks.txt.wgl.bed.hg19.bed
GSM763424_OCI-LY1_H3K27Ac_peaks,H3K27Ac,GSM763424_OCI-LY1_H3K27Ac_peaks.txt.wgl.bed.hg19.bed
GSM898055_OCI-LY1_P300_peaks,P300,GSM898055_OCI-LY1_P300_peaks.txt.wgl.bed.hg19.bed
GSM898056_OCI-LY1_NCOR_peaks,NCOR,GSM898056_OCI-LY1_NCOR_peaks.txt.wgl.bed.hg19.bed
